comment,comm_region,comm_time,video_img,video_info,comm_name,video_name,comm_favor
喜欢男主，男主的超级巨星应该和这个差不多吧！,乍得::,Fri Jun 02 15:52:32 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/b/b4e8yjwgokhr0lj_y.jpg,6.9独播,　,逆袭之星途璀璨,6
好好看,中国:江苏:无锡,Sat Jun 03 00:07:20 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,骄傲女神,职场是个技术活,2
一般般,中国:江苏:南京,Sat Jun 03 06:02:14 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,缤纷果莉橙,职场是个技术活,2
唉没有漫画帅气？,::,Fri Jun 02 16:48:57 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/b/b4e8yjwgokhr0lj_y.jpg,6.9独播,.,逆袭之星途璀璨,1
这部剧好看吗？,中国:广东:珠海,Fri Jun 02 22:20:05 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,永恒的记忆,职场是个技术活,2
介绍的吗呢,中国:福建:宁德,Sat Jun 03 02:55:16 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,考拉,职场是个技术活,3
哈,中国:四川:,Fri Jun 02 21:10:28 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,@怡,职场是个技术活,3
广告费疯疯癫癫,中国:黑龙江:大庆,Sat Jun 03 01:46:47 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,关红,职场是个技术活,3
职场,中国:辽宁:沈阳,Fri Jun 02 17:59:50 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,文暄,职场是个技术活,2
hh,中国:广东:阳江,Fri Jun 02 21:24:20 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,巧克力£也会融化*,职场是个技术活,1
一般般,中国:广东:肇庆,Fri Jun 02 20:16:11 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,選定妳,职场是个技术活,1
还可以,中国::,Fri Jun 02 23:53:58 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,张晶,职场是个技术活,0
王耀庆演的电视都很好 喜欢,爱尔兰::斯莱戈,Fri Jun 02 18:48:35 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,、南风知我意,职场是个技术活,3
什么,中国:广东:梅州,Fri Jun 02 18:03:54 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,Walker&amp;木乃已,职场是个技术活,0
乔振宇好爱她女朋友,中国::,Fri Jun 02 22:43:22 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,温柔の回忆,职场是个技术活,1
