IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
112.115.81.155,17-06-01 11:50,0.385秒,云南昆明,HTTP,808
113.58.235.139,17-06-01 11:45,7.006秒,海南海口,HTTPS,808
119.5.1.108,17-06-01 11:44,0.686秒,四川南充,HTTPS,808
60.205.95.162,17-06-01 11:43,1.694秒,广东深圳,HTTPS,808
140.224.76.104,17-06-01 11:41,1.255秒,,HTTPS,808
222.95.21.105,17-06-01 11:40,0.168秒,江苏南京,HTTPS,808
220.160.10.222,17-06-01 11:40,0.267秒,福建福州,HTTPS,808
60.184.207.95,17-06-01 11:40,0.189秒,浙江丽水,HTTP,808
121.226.172.91,17-06-01 11:40,0.882秒,江苏,HTTPS,808
183.49.85.121,17-06-01 11:38,0.194秒,广东深圳,HTTPS,8118
113.123.53.169,17-06-01 11:36,0.504秒,山东威海,HTTPS,808
115.207.7.91,17-06-01 11:33,7.688秒,浙江衢州,HTTPS,808
49.83.207.152,17-06-01 11:33,6.738秒,江苏盐城,HTTPS,808
60.19.238.98,17-06-01 11:31,7.807秒,辽宁鞍山,HTTP,36962
115.203.95.199,17-06-01 11:31,7.787秒,浙江台州,HTTPS,808
123.161.239.215,17-06-01 11:30,3.041秒,河南平顶山,HTTP,40767
IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
119.5.0.122,17-06-01 13:52,0.243秒,四川南充,HTTP,808
116.226.90.12,17-06-01 13:51,0.132秒,上海,HTTP,808
119.5.0.38,17-06-01 13:51,0.257秒,四川南充,HTTP,808
36.62.117.55,17-06-01 13:50,0.224秒,安徽,HTTP,8118
220.166.242.94,17-06-01 13:50,0.544秒,四川成都,HTTPS,8118
218.18.232.29,17-06-01 13:50,0.305秒,广东深圳,HTTP,8080
220.166.96.90,17-06-01 13:50,0.591秒,四川泸州,HTTP,82
139.224.237.33,17-06-01 13:50,0.106秒,,HTTP,8888
211.149.162.144,17-06-01 13:50,0.925秒,吉林通化,HTTP,808
119.115.233.78,17-06-01 13:50,0.146秒,辽宁,HTTP,80
222.94.111.128,17-06-01 13:50,0.204秒,江苏南京,HTTPS,8118
175.155.25.20,17-06-01 13:50,0.325秒,四川德阳,HTTP,808
42.233.238.117,17-06-01 13:46,0.124秒,河南,HTTP,8118
123.179.128.151,17-06-01 13:46,0.086秒,内蒙古赤峰,HTTPS,8080
115.220.150.36,17-06-01 13:45,1.547秒,浙江宁波,HTTPS,808
119.5.0.23,17-06-01 13:45,0.24秒,四川南充,HTTP,808
58.34.237.139,17-06-01 13:44,0.128秒,上海,HTTP,9000
119.5.0.60,17-06-01 13:44,0.361秒,四川南充,HTTP,808
220.160.10.187,17-06-01 13:41,1.609秒,福建福州,HTTPS,808
119.5.1.32,17-06-01 13:40,0.229秒,四川南充,HTTP,808
183.49.85.121,17-06-01 13:40,0.194秒,广东深圳,HTTPS,8118
221.230.72.182,17-06-01 13:36,3.13秒,江苏镇江,HTTP,80
175.155.25.18,17-06-01 13:33,0.785秒,四川德阳,HTTP,808
115.220.1.155,17-06-01 13:33,1.005秒,浙江宁波,HTTP,808
218.64.93.239,17-06-01 13:33,2.291秒,江西吉安,HTTPS,808
115.215.71.172,17-06-01 13:33,4.057秒,浙江宁波,HTTPS,808
115.213.202.66,17-06-01 13:33,0.254秒,浙江丽水,HTTPS,808
115.220.6.240,17-06-01 13:33,0.313秒,浙江宁波,HTTP,808
119.5.0.47,17-06-01 13:33,6.295秒,四川南充,HTTP,808
106.46.6.187,17-06-01 13:30,4.127秒,,HTTP,30816
123.163.162.171,17-06-01 13:30,3.42秒,河南三门峡,HTTP,808
117.43.1.183,17-06-01 13:30,1.0秒,江西九江,HTTPS,808
114.229.35.46,17-06-01 13:30,1.627秒,江苏镇江,HTTP,24023
221.229.44.200,17-06-01 13:30,0.205秒,江苏扬州,HTTP,808
114.248.108.23,17-06-01 13:30,0.08秒,北京,HTTP,8118
115.207.4.171,17-06-01 13:30,0.34秒,浙江衢州,HTTPS,808
115.202.182.213,17-06-01 13:22,5.369秒,浙江台州,HTTPS,808
175.155.24.41,17-06-01 13:22,0.329秒,四川德阳,HTTP,808
115.203.83.145,17-06-01 13:22,1.911秒,浙江台州,HTTPS,808
115.202.164.254,17-06-01 13:22,1.562秒,浙江台州,HTTPS,808
220.160.10.100,17-06-01 13:22,3.311秒,福建福州,HTTPS,808
115.202.172.53,17-06-01 13:22,0.721秒,浙江台州,HTTPS,808
113.123.127.225,17-06-01 13:22,2.026秒,山东滨州,HTTP,808
183.153.48.42,17-06-01 13:21,0.214秒,浙江台州,HTTPS,808
60.167.22.255,17-06-01 13:15,5.317秒,安徽芜湖,HTTP,808
115.220.147.122,17-06-01 13:13,2.073秒,浙江宁波,HTTPS,808
171.38.161.120,17-06-01 13:11,2.09秒,广西钦州,HTTPS,8123
113.71.112.187,17-06-01 13:11,0.57秒,广东佛山,HTTPS,808
115.202.165.183,17-06-01 13:11,0.895秒,浙江台州,HTTPS,808
115.220.146.52,17-06-01 13:11,0.189秒,浙江宁波,HTTPS,808
183.153.37.200,17-06-01 13:11,0.244秒,浙江台州,HTTPS,808
119.5.1.40,17-06-01 13:11,3.969秒,四川南充,HTTP,808
101.206.131.13,17-06-01 13:11,0.403秒,四川,HTTPS,808
183.153.14.145,17-06-01 13:11,0.227秒,浙江台州,HTTPS,808
119.5.37.210,17-06-01 13:04,1.337秒,四川达州,HTTP,808
115.202.175.71,17-06-01 13:00,1.57秒,浙江台州,HTTP,808
218.61.208.95,17-06-01 13:00,0.189秒,辽宁大连,HTTPS,808
220.160.10.86,17-06-01 13:00,0.317秒,福建福州,HTTPS,808
119.5.0.85,17-06-01 13:00,0.262秒,四川南充,HTTP,808
115.213.176.116,17-06-01 13:00,3.984秒,浙江丽水,HTTPS,808
123.163.163.138,17-06-01 13:00,0.337秒,河南三门峡,HTTP,808
120.83.121.131,17-06-01 12:55,0.259秒,广东揭阳,HTTPS,808
123.170.255.108,17-06-01 12:55,0.176秒,山东滨州,HTTPS,808
114.239.149.97,17-06-01 12:55,7.894秒,江苏宿迁市泗阳县,HTTP,808
125.81.110.62,17-06-01 12:51,0.666秒,重庆,HTTP,8123
183.153.12.175,17-06-01 12:51,7.191秒,浙江台州,HTTP,808
175.155.24.119,17-06-01 12:50,0.315秒,四川德阳,HTTP,808
114.103.221.107,17-06-01 12:45,0.257秒,安徽宣城,HTTPS,808
60.176.203.58,17-06-01 12:45,0.303秒,浙江杭州,HTTP,808
115.220.3.80,17-06-01 12:45,4.186秒,浙江宁波,HTTP,808
110.73.4.72,17-06-01 12:44,0.985秒,广西防城港,HTTP,8123
121.226.155.207,17-06-01 12:43,3.071秒,江苏盐城,HTTPS,808
115.213.203.209,17-06-01 12:43,6.758秒,浙江丽水,HTTP,808
119.5.0.9,17-06-01 12:40,0.231秒,四川南充,HTTP,808
119.5.0.35,17-06-01 12:40,0.252秒,四川南充,HTTP,808
180.175.17.98,17-06-01 12:34,0.141秒,上海,HTTP,63000
115.203.82.207,17-06-01 12:33,7.061秒,浙江台州,HTTPS,808
221.229.45.54,17-06-01 12:33,1.95秒,江苏扬州,HTTPS,808
115.220.5.120,17-06-01 12:33,0.258秒,浙江宁波,HTTPS,808
183.153.39.236,17-06-01 12:33,0.822秒,浙江台州,HTTPS,808
58.253.70.149,17-06-01 12:31,0.383秒,广东茂名,HTTP,8080
114.239.2.72,17-06-01 12:31,0.225秒,江苏宿迁,HTTP,808
119.5.1.55,17-06-01 12:30,0.85秒,四川南充,HTTP,808
123.55.179.97,17-06-01 12:30,4.669秒,河南三门峡,HTTP,808
114.230.232.173,17-06-01 12:30,1.228秒,江苏扬州,HTTP,47346
110.72.150.117,17-06-01 12:22,3.103秒,广西防城港,HTTPS,8123
115.203.93.74,17-06-01 12:22,0.39秒,浙江台州,HTTPS,808
171.13.36.74,17-06-01 12:22,0.451秒,河南,HTTPS,808
122.245.65.82,17-06-01 12:22,1.02秒,浙江宁波,HTTPS,808
119.5.175.11,17-06-01 12:22,3.612秒,四川,HTTPS,808
182.35.220.179,17-06-01 12:16,1.359秒,山东德州,HTTPS,808
175.155.24.57,17-06-01 12:16,1.016秒,四川德阳,HTTP,808
175.155.247.174,17-06-01 12:16,1.718秒,四川德阳,HTTP,808
222.85.39.147,17-06-01 12:15,0.198秒,河南平顶山,HTTPS,808
222.95.18.16,17-06-01 12:15,7.069秒,江苏南京,HTTP,808
123.162.80.56,17-06-01 12:15,2.103秒,河南焦作,HTTP,808
60.167.21.53,17-06-01 12:12,5.521秒,安徽芜湖,HTTPS,808
115.215.208.147,17-06-01 12:11,0.319秒,浙江宁波,HTTP,8118
175.155.241.85,17-06-01 12:01,2.214秒,四川德阳,HTTPS,808
183.153.47.1,17-06-01 12:00,1.082秒,浙江台州,HTTP,808
49.86.62.150,17-06-01 11:55,0.36秒,江苏扬州,HTTPS,808
123.55.189.41,17-06-01 11:50,0.212秒,河南三门峡,HTTPS,808
112.115.81.155,17-06-01 11:50,0.385秒,云南昆明,HTTP,808
113.58.235.139,17-06-01 11:45,7.006秒,海南海口,HTTPS,808
119.5.1.108,17-06-01 11:44,0.686秒,四川南充,HTTPS,808
60.205.95.162,17-06-01 11:43,1.694秒,广东深圳,HTTPS,808
140.224.76.104,17-06-01 11:41,1.255秒,,HTTPS,808
222.95.21.105,17-06-01 11:40,0.168秒,江苏南京,HTTPS,808
220.160.10.222,17-06-01 11:40,0.267秒,福建福州,HTTPS,808
60.184.207.95,17-06-01 11:40,0.189秒,浙江丽水,HTTP,808
121.226.172.91,17-06-01 11:40,0.882秒,江苏,HTTPS,808
113.123.53.169,17-06-01 11:36,0.504秒,山东威海,HTTPS,808
115.207.7.91,17-06-01 11:33,7.688秒,浙江衢州,HTTPS,808
49.83.207.152,17-06-01 11:33,6.738秒,江苏盐城,HTTPS,808
60.19.238.98,17-06-01 11:31,7.807秒,辽宁鞍山,HTTP,36962
115.203.95.199,17-06-01 11:31,7.787秒,浙江台州,HTTPS,808
123.161.239.215,17-06-01 11:30,3.041秒,河南平顶山,HTTP,40767
112.195.101.120,17-06-01 11:24,1.147秒,四川自贡,HTTPS,808
110.73.9.162,17-06-01 11:23,4.647秒,广西防城港,HTTP,8123
49.86.62.36,17-06-01 11:22,2.062秒,江苏扬州,HTTP,808
175.155.24.109,17-06-01 11:22,0.446秒,四川德阳,HTTP,808
122.245.67.231,17-06-01 11:20,1.191秒,浙江宁波,HTTP,808
119.7.83.171,17-06-01 11:20,1.183秒,四川,HTTP,808
171.39.76.142,17-06-01 11:15,1.903秒,广西百色,HTTP,8123
117.94.152.61,17-06-01 11:12,0.231秒,江苏泰州,HTTPS,808
210.79.83.208,17-06-01 11:11,0.177秒,广东深圳市南山区,HTTPS,8118
60.184.175.109,17-06-01 11:11,0.317秒,浙江丽水,HTTPS,808
115.202.160.145,17-06-01 11:11,4.597秒,浙江台州,HTTP,808
36.26.153.40,17-06-01 11:11,0.594秒,浙江,HTTPS,808
123.55.179.117,17-06-01 11:11,0.211秒,河南三门峡,HTTPS,808
183.153.15.82,17-06-01 11:11,1.033秒,浙江台州,HTTPS,808
222.85.50.45,17-06-01 11:11,2.008秒,河南平顶山,HTTP,808
175.155.24.37,17-06-01 11:11,0.917秒,四川德阳,HTTP,808
222.95.23.37,17-06-01 11:11,1.102秒,江苏南京,HTTPS,808
119.5.0.108,17-06-01 11:10,0.28秒,四川南充,HTTP,808
122.241.73.201,17-06-01 11:02,2.193秒,浙江丽水,HTTPS,808
114.239.0.14,17-06-01 11:01,0.183秒,江苏宿迁,HTTP,808
115.210.77.43,17-06-01 11:00,7.037秒,浙江金华,HTTP,37007
180.115.6.166,17-06-01 11:00,0.566秒,江苏常州,HTTP,35351
122.241.75.248,17-06-01 11:00,0.557秒,浙江丽水,HTTPS,808
140.224.76.146,17-06-01 11:00,0.658秒,,HTTP,808
119.5.1.10,17-06-01 11:00,4.288秒,四川南充,HTTP,808
115.220.6.33,17-06-01 10:55,0.808秒,浙江宁波,HTTPS,808
119.5.0.118,17-06-01 10:53,0.468秒,四川南充,HTTP,808
218.64.93.88,17-06-01 10:50,0.248秒,江西吉安,HTTPS,808
175.155.24.18,17-06-01 10:50,4.875秒,四川德阳,HTTP,808
114.239.3.102,17-06-01 10:33,4.384秒,江苏宿迁,HTTPS,808
123.170.255.236,17-06-01 10:33,1.481秒,山东滨州,HTTPS,808
119.5.1.107,17-06-01 10:32,0.718秒,四川南充,HTTPS,808
121.226.171.64,17-06-01 10:30,0.184秒,江苏,HTTP,808
218.64.93.53,17-06-01 10:30,1.736秒,江西吉安,HTTP,808
121.206.32.180,17-06-01 10:30,4.885秒,福建漳州,HTTP,808
175.155.25.46,17-06-01 10:28,0.208秒,四川德阳,HTTP,808
119.5.0.14,17-06-01 10:28,0.239秒,四川南充,HTTP,808
114.239.2.185,17-06-01 10:22,0.181秒,江苏宿迁,HTTP,808
115.220.1.11,17-06-01 10:20,1.195秒,浙江宁波,HTTP,808
122.241.73.42,17-06-01 10:15,0.273秒,浙江丽水,HTTPS,808
119.5.0.110,17-06-01 10:13,0.753秒,四川南充,HTTP,808
182.45.2.9,17-06-01 10:11,2.676秒,山东,HTTPS,808
171.38.179.147,17-06-01 10:11,0.394秒,广西钦州,HTTPS,8123
113.69.253.73,17-06-01 10:11,0.561秒,广东佛山,HTTP,808
123.169.88.53,17-06-01 10:11,0.83秒,山东淄博,HTTPS,808
119.7.75.112,17-06-01 10:11,0.427秒,四川德阳,HTTPS,808
114.239.150.200,17-06-01 10:11,0.303秒,江苏宿迁市泗阳县,HTTP,808
182.108.4.84,17-06-01 10:10,0.211秒,江西,HTTP,8118
175.155.24.70,17-06-01 10:10,0.242秒,四川德阳,HTTP,808
175.155.24.16,17-06-01 10:10,0.314秒,四川德阳,HTTP,808
175.155.136.127,17-06-01 10:01,4.514秒,四川德阳,HTTPS,808
113.69.60.44,17-06-01 10:01,0.55秒,广东佛山,HTTPS,808
114.101.136.216,17-06-01 10:00,1.235秒,安徽淮南,HTTP,26438
115.220.147.160,17-06-01 10:00,4.306秒,浙江宁波,HTTPS,808
123.170.100.85,17-06-01 10:00,6.351秒,山东日照,HTTP,808
119.5.0.3,17-06-01 10:00,0.974秒,四川南充,HTTP,808
123.170.82.119,17-06-01 09:53,3.957秒,山东日照,HTTP,808
106.0.4.116,17-06-01 09:53,0.043秒,福建,HTTP,8081
119.98.104.212,17-06-01 09:45,5.061秒,湖北武汉,HTTPS,53281
175.155.25.105,17-06-01 09:45,0.326秒,四川德阳,HTTP,808
175.155.143.163,17-06-01 09:45,1.933秒,四川德阳,HTTPS,808
123.169.84.109,17-06-01 09:45,2.844秒,山东淄博,HTTP,808
114.230.232.226,17-06-01 09:45,1.078秒,江苏扬州,HTTP,808
115.213.200.233,17-06-01 09:44,0.416秒,浙江丽水,HTTPS,808
110.90.186.173,17-06-01 09:44,4.676秒,福建宁德,HTTPS,808
119.5.1.92,17-06-01 09:41,0.988秒,四川南充,HTTP,808
175.155.24.74,17-06-01 09:40,0.239秒,四川德阳,HTTPS,808
115.210.49.255,17-06-01 09:37,0.215秒,浙江金华,HTTP,808
175.155.139.132,17-06-01 09:33,4.358秒,四川德阳,HTTPS,808
115.202.167.108,17-06-01 09:33,4.432秒,浙江台州,HTTP,808
171.38.174.108,17-06-01 09:31,4.155秒,广西钦州,HTTP,8123
119.5.1.111,17-06-01 09:31,0.229秒,四川南充,HTTP,808
116.28.105.70,17-06-01 09:30,2.708秒,广东中山,HTTP,808
119.5.0.70,17-06-01 09:30,0.289秒,四川南充,HTTP,808
113.121.250.20,17-06-01 09:22,3.218秒,山东德州,HTTPS,808
49.86.62.54,17-06-01 09:22,0.202秒,江苏扬州,HTTP,808
182.43.170.121,17-06-01 09:22,4.753秒,山东,HTTPS,808
123.55.189.106,17-06-01 09:22,3.098秒,河南三门峡,HTTP,808
221.229.46.252,17-06-01 09:22,6.037秒,江苏扬州,HTTPS,808
171.13.37.175,17-06-01 09:22,0.301秒,河南,HTTPS,808
112.194.42.146,17-06-01 09:21,0.325秒,四川达州,HTTPS,808
123.55.190.242,17-06-01 09:20,0.347秒,河南三门峡,HTTPS,808
218.63.208.223,17-06-01 09:18,2.424秒,云南曲靖,HTTPS,3128
114.239.2.144,17-06-01 09:11,0.219秒,江苏宿迁,HTTP,808
115.220.6.251,17-06-01 09:11,1.167秒,浙江宁波,HTTPS,808
117.43.0.241,17-06-01 09:11,1.098秒,江西九江,HTTPS,808
115.215.70.132,17-06-01 09:11,1.39秒,浙江宁波,HTTPS,808
113.123.60.19,17-06-01 09:10,0.496秒,山东威海,HTTP,808
175.155.24.103,17-06-01 09:10,0.246秒,四川德阳,HTTP,808
59.62.98.170,17-06-01 09:02,7.088秒,江西鹰潭,HTTPS,808
112.111.5.187,17-06-01 09:01,0.198秒,福建福州,HTTPS,8118
60.178.84.232,17-06-01 09:00,0.856秒,浙江宁波,HTTPS,808
183.153.18.188,17-06-01 09:00,4.471秒,浙江台州,HTTP,808
49.70.161.190,17-06-01 09:00,0.547秒,江苏苏州,HTTP,25969
119.7.72.72,17-06-01 09:00,3.364秒,四川德阳,HTTP,808
119.5.0.67,17-06-01 09:00,0.276秒,四川南充,HTTP,808
220.179.219.7,17-06-01 08:58,0.216秒,安徽铜陵,HTTPS,808
115.220.145.247,17-06-01 08:55,0.41秒,浙江宁波,HTTPS,808
175.155.140.228,17-06-01 08:55,4.31秒,四川德阳,HTTPS,808
140.250.153.34,17-06-01 08:51,0.265秒,山东,HTTPS,808
183.157.177.130,17-06-01 08:50,1.324秒,浙江杭州,HTTPS,80
115.215.69.165,17-06-01 08:50,0.951秒,浙江宁波,HTTPS,808
114.239.2.134,17-06-01 08:45,0.216秒,江苏宿迁,HTTP,808
60.184.175.36,17-06-01 08:44,0.398秒,浙江丽水,HTTPS,808
59.54.226.132,17-06-01 08:44,2.938秒,江西抚州,HTTP,43945
222.95.17.242,17-06-01 08:43,1.941秒,江苏南京,HTTPS,808
175.155.136.22,17-06-01 08:40,5.33秒,四川德阳,HTTPS,808
218.64.93.229,17-06-01 08:36,5.374秒,江西吉安,HTTPS,808
175.155.189.100,17-06-01 08:33,2.736秒,四川德阳,HTTPS,808
175.155.240.172,17-06-01 08:33,2.567秒,四川德阳,HTTPS,808
114.239.0.166,17-06-01 08:32,0.239秒,江苏宿迁,HTTP,808
115.202.185.65,17-06-01 08:30,0.229秒,浙江台州,HTTPS,808
119.5.0.16,17-06-01 08:30,4.096秒,四川南充,HTTP,808
115.220.0.110,17-06-01 08:22,2.815秒,浙江宁波,HTTPS,808
115.220.7.180,17-06-01 08:22,1.159秒,浙江宁波,HTTPS,808
