[DEBUG | 2017-11-30 12:57:26,833] vote to all
[DEBUG | 2017-11-30 12:57:28,553] vote to all
[DEBUG | 2017-11-30 12:57:28,839] vote to all
[DEBUG | 2017-11-30 12:57:30,557] vote to all
[DEBUG | 2017-11-30 12:57:30,842] vote to all
[DEBUG | 2017-11-30 12:57:31,583] DtbtNginx = DtbtNginx
[DEBUG | 2017-11-30 12:57:31,583] DtbtNginx = DtbtNginx
[DEBUG | 2017-11-30 12:57:31,584] DtbtNginx = DtbtNginx
[DEBUG | 2017-11-30 12:57:32,847] vote to all
[DEBUG | 2017-11-30 12:57:32,773] vote to all
[DEBUG | 2017-11-30 12:57:33,592] vote to all
[DEBUG | 2017-11-30 12:57:34,975] vote to all
[DEBUG | 2017-11-30 12:57:34,975] vote to all
[DEBUG | 2017-11-30 12:59:41,203] DtbtNginx = localhost 8888
[DEBUG | 2017-11-30 12:59:41,204] DtbtNginx = localhost 8889
[DEBUG | 2017-11-30 12:59:41,204] DtbtNginx = localhost 8890
[DEBUG | 2017-11-30 12:59:43,225] vote to all
[DEBUG | 2017-11-30 12:59:45,230] vote to all
[DEBUG | 2017-11-30 12:59:47,234] vote to all
[DEBUG | 2017-11-30 12:59:48,318] DtbtNginx = localhost 8888
[DEBUG | 2017-11-30 12:59:48,319] DtbtNginx = localhost 8889
[DEBUG | 2017-11-30 12:59:48,320] DtbtNginx = localhost 8890
[DEBUG | 2017-11-30 12:59:49,239] vote to all
[DEBUG | 2017-11-30 12:59:50,341] vote to all
[DEBUG | 2017-11-30 12:59:51,242] vote to all
[DEBUG | 2017-11-30 12:59:52,346] vote to all
[DEBUG | 2017-11-30 12:59:53,247] vote to all
[DEBUG | 2017-11-30 12:59:55,251] vote to all
[DEBUG | 2017-11-30 13:02:32,411] key = DtbtNginx1  val = localhost:8888
[DEBUG | 2017-11-30 13:02:32,413] DtbtNginx = localhost 8888
[DEBUG | 2017-11-30 13:02:32,414] key = DtbtNginx2  val = localhost:8889
[DEBUG | 2017-11-30 13:02:32,415] DtbtNginx = localhost 8889
[DEBUG | 2017-11-30 13:02:32,416] key = DtbtNginx3  val = localhost:8890
[DEBUG | 2017-11-30 13:02:32,417] DtbtNginx = localhost 8890
[DEBUG | 2017-11-30 13:02:32,418] key = ListenNginx1  val = localhost:11111
[DEBUG | 2017-11-30 13:02:32,418] key = ListenNginx2  val = localhost:11112
[DEBUG | 2017-11-30 13:02:32,419] key = ListenNginx3  val = localhost:11113
[DEBUG | 2017-11-30 13:02:34,438] vote to all
[DEBUG | 2017-11-30 13:02:36,442] vote to all
[DEBUG | 2017-11-30 13:02:38,447] vote to all
[DEBUG | 2017-11-30 13:04:47,438] ip = DtbtNginx1  port = 127.0.0.1:8888
[DEBUG | 2017-11-30 13:04:47,439] DtbtNginx = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:04:47,440] ip = DtbtNginx2  port = 127.0.0.1:8889
[DEBUG | 2017-11-30 13:04:47,441] DtbtNginx = 127.0.0.1 8889
[DEBUG | 2017-11-30 13:04:47,442] ip = DtbtNginx3  port = 127.0.0.1:8890
[DEBUG | 2017-11-30 13:04:47,444] DtbtNginx = 127.0.0.1 8890
[DEBUG | 2017-11-30 13:04:47,445] ip = ListenNginx1  port = 127.0.0.1:11111
[DEBUG | 2017-11-30 13:04:47,448] ip = ListenNginx2  port = 127.0.0.1:11112
[DEBUG | 2017-11-30 13:04:47,449] ip = ListenNginx3  port = 127.0.0.1:11113
[DEBUG | 2017-11-30 13:04:49,459] vote to all
[DEBUG | 2017-11-30 13:04:51,463] vote to all
[DEBUG | 2017-11-30 13:04:53,467] vote to all
[DEBUG | 2017-11-30 13:04:55,471] vote to all
[DEBUG | 2017-11-30 13:05:47,436] ip = 127.0.0.1  port = 8888
[DEBUG | 2017-11-30 13:05:47,437] DtbtNginx = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:05:47,438] ip = 127.0.0.1  port = 8889
[DEBUG | 2017-11-30 13:05:47,439] DtbtNginx = 127.0.0.1 8889
[DEBUG | 2017-11-30 13:05:47,442] ip = 127.0.0.1  port = 8890
[DEBUG | 2017-11-30 13:05:47,444] DtbtNginx = 127.0.0.1 8890
[DEBUG | 2017-11-30 13:05:47,445] ip = 127.0.0.1  port = 11111
[DEBUG | 2017-11-30 13:05:47,446] ip = 127.0.0.1  port = 11112
[DEBUG | 2017-11-30 13:05:47,451] ip = 127.0.0.1  port = 11113
[DEBUG | 2017-11-30 13:05:49,463] vote to all
[DEBUG | 2017-11-30 13:05:51,468] vote to all
[DEBUG | 2017-11-30 13:05:53,472] vote to all
[DEBUG | 2017-11-30 13:08:17,350] hostPre + num = DtbtNginx./myDtbtNginx  key = DtbtNginx1
[DEBUG | 2017-11-30 13:08:17,351] DtbtNginx = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:08:17,352] hostPre + num = DtbtNginx./myDtbtNginx  key = DtbtNginx2
[DEBUG | 2017-11-30 13:08:17,353] DtbtNginx = 127.0.0.1 8889
[DEBUG | 2017-11-30 13:08:17,354] hostPre + num = DtbtNginx./myDtbtNginx  key = DtbtNginx3
[DEBUG | 2017-11-30 13:08:17,358] DtbtNginx = 127.0.0.1 8890
[DEBUG | 2017-11-30 13:08:17,359] hostPre + num = DtbtNginx./myDtbtNginx  key = ListenNginx1
[DEBUG | 2017-11-30 13:08:17,360] hostPre + num = DtbtNginx./myDtbtNginx  key = ListenNginx2
[DEBUG | 2017-11-30 13:08:17,362] hostPre + num = DtbtNginx./myDtbtNginx  key = ListenNginx3
[DEBUG | 2017-11-30 13:08:19,380] vote to all
[DEBUG | 2017-11-30 13:08:21,384] vote to all
[DEBUG | 2017-11-30 13:14:41,413] hostPre + num = DtbtNginx1  key = DtbtNginx1
[DEBUG | 2017-11-30 13:14:41,414] selfNginxName = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:14:41,415] DtbtNginx = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:14:41,416] hostPre + num = DtbtNginx1  key = DtbtNginx2
[DEBUG | 2017-11-30 13:14:41,418] DtbtNginx = 127.0.0.1 8889
[DEBUG | 2017-11-30 13:14:41,419] hostPre + num = DtbtNginx1  key = DtbtNginx3
[DEBUG | 2017-11-30 13:14:41,420] DtbtNginx = 127.0.0.1 8890
[DEBUG | 2017-11-30 13:14:41,421] hostPre + num = DtbtNginx1  key = ListenNginx1
[DEBUG | 2017-11-30 13:14:41,423] listenName = 127.0.0.1 11111
[DEBUG | 2017-11-30 13:14:41,424] hostPre + num = DtbtNginx1  key = ListenNginx2
[DEBUG | 2017-11-30 13:14:41,425] hostPre + num = DtbtNginx1  key = ListenNginx3
[DEBUG | 2017-11-30 13:14:41,431] connect -> 127.0.0.1 8888
[DEBUG | 2017-11-30 13:14:41,437] 写了：---0字节
[DEBUG | 2017-11-30 13:20:17,878] selfNginxName = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:20:17,879] DtbtNginx = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:20:17,880] DtbtNginx = 127.0.0.1 8889
[DEBUG | 2017-11-30 13:20:17,881] DtbtNginx = 127.0.0.1 8890
[DEBUG | 2017-11-30 13:20:17,882] listenName = 127.0.0.1 11111
[DEBUG | 2017-11-30 13:20:17,888] connect -> 127.0.0.1 8888
[DEBUG | 2017-11-30 13:20:17,895] 写了：---0字节
[DEBUG | 2017-11-30 13:31:36,979] selfNginxName = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:31:36,980] DtbtNginx = 127.0.0.1 8889
